6.46678646	3.49159241	RIP: Driver Dies In Fatal Accident With Truck In Edo State (Photos): The Executive Chairman of Ovia South-West loca… https://t.co/f47cVJoQAH
6.46678646	3.49159241	Wow! Amazing Transformation Photos Of A Nigerian Burns Survivor That Have Gone Viral: What a wonderful transformati… https://t.co/Fz8PYKKcw2
6.46678646	3.49159241	Drunk Yahoo Boys Returning From Club Crash SUV In Lekki, Lagos (Photos): The dangerous effect of drinking and drivi… https://t.co/TnxgcmBLTD
6.46678646	3.49159241	Doctor Mistakenly Cuts Man's Intestine After Bike Accident In Imo (Photos): It has been reported that a man identif… https://t.co/pXCDw78Mt6
6.46678646	3.49159241	Tragedy In Imo State As Pregnant Woman Die During A Fatal Car Accident (Graphic Photos): This is really sad. It was… https://t.co/ZVjl35xFAH
6.46678646	3.49159241	Banky W &amp; Wife Mourn With Billionaire, Anselm Tabansi Who Lost Son, Jesse In Ghastly Car Crash -PICS: Jesse, the so… https://t.co/vOpOyx3ZFN
6.46678646	3.49159241	Banky W &amp; Wife Mourn With Billionaire, Anselm Tabansi Who Lost Son, Jesse In Ghastly Car Crash -PICS: Jesse, the so… https://t.co/vOpOyx3ZFN
6.46678646	3.49159241	Banky W &amp; Wife Mourn With Billionaire, Anselm Tabansi Who Lost Son, Jesse In Ghastly Car Crash -PICS: Jesse, the so… https://t.co/vOpOyx3ZFN
6.46678646	3.49159241	2 Families File N320m Lawsuits Against Dangote Over The Death Of Their members In An Accident: Two families have su… https://t.co/DiIDoz4CPW
6.45306	3.39583	(Inside view of a green Afri-polo) Quality is never an accident; it is always the result of high… https://t.co/KKbvytIqBY
6.45306	3.39583	Productivity is never an accident. It is always the result of a commitment to excellence,… https://t.co/fNNNPxyuZb
6.45306	3.39583	Productivity is never an accident. It is always the result of a commitment to excellence,… https://t.co/fNNNPxQ5QJ
6.46678646	3.49159241	Gov. Rochas Okorocha Rescues An Accident Victim Whose Vehicle Was Hit By Lorry In Owerri (Photos): The governor of… https://t.co/HbnazIpRMY
6.46678646	3.49159241	11 People Crushed To Death In Fatal Accident Caused By Customs Officials @ Benin By-Pass (Photos): A heartbroken Ni… https://t.co/kHni05b8W4
6.46678646	3.49159241	Abia First Lady’s Media Aide, One Other Die In Auto Crash Involving Wife Of Abia State Govr's Convoy: Two persons h… https://t.co/rwL5LrTJUP
6.46678646	3.49159241	Pretty Young Lady Shares Inspiring Photos Of Six Weeks After A Horrific Car Accident: On April 2, six weeks after s… https://t.co/cxpb10YkAw
6.46678646	3.49159241	Deeper Life Pastor Returning From Easter Retreat, Cut Into Two After A Ghastly Accident In Anambra: Tragedy struck… https://t.co/btpjnHH7T4
6.46678646	3.49159241	Lady Cheats Death After Horrific Car Accident While Traveling For Easter (Photos): A Nigerian lady who is very luck… https://t.co/vExWvUuams
6.46678646	3.49159241	Wailing &amp; Tears As Man, Mopmi Samson Who Died A Week To His Wedding Was Laid To Rest (Photos): We reported last wee… https://t.co/AGoZyYOlnd
6.46678646	3.49159241	See What Road Safety Officials Did With N2million Recovered At Accident Scene (Photos): The Federal Road Safety Cor… https://t.co/ASJJZrCZe8
6.46678646	3.49159241	'God Just Saved Me From What Would Have Been A Terrible Accident' - OAP IK Osakioduwa Recounts: Nigerian media pers… https://t.co/05JpbCqlvO
6.46678646	3.49159241	Lady Survives Car Accident, Shortly After Arriving Nigeria For Easter Celebration: A Nigerian lady identified as Jo… https://t.co/37Z8sOakFY
6.46678646	3.49159241	Fatal Car Accident Leave All Passengers Dead Along Abuja Road (Photos): A fatal accident which happened at Gada Biu… https://t.co/epkq6h06RJ
6.46678646	3.49159241	30 Years Old Graduate, Paul Ikpechukwu Killed In Accident Caused By NCDSC In Enugu: Family members and friends have… https://t.co/uQC0HkjwM1
6.46678646	3.49159241	Heartbreaking Photos Of Pregnant Woman Killed In Fatal Road Accident (Photo): A tragic motor accident has claimed t… https://t.co/pdQQR13auQ
6.45148745	4.03483941	64 str8 days accident free 💪 lit💥 @ Dangote Refinery LFTZ Lagos https://t.co/s8U79rRiHE
6.46678646	3.49159241	Dangote’s General Manager, Sunday Esan Escapes Death After Ghastly Car Accident (Photos): The General Manager, Corp… https://t.co/WbFK3aUcel
6.46678646	3.49159241	OMG! Handsome Nigerian Man Dies In Ghastly Car Accident 6 Days To His Wedding In Bauchi State (Pics): Nothing beats… https://t.co/VMtoDy14JZ
6.46678646	3.49159241	CAN Chairman In Taraba State, Rev. Ben Ubeh Crushed To Death By Truck (PHOTOS): Rev. Ben Ubeh, the Chairman of the… https://t.co/hoKp3UTbgy
6.51590798	3.37280273	Breaking: Taraba CAN chairman dies in auto-accident
6.45306	3.39583	Just. Arrived hasn't been detailed and this clean... 2007 toks Camry le accident free… https://t.co/RW5zsB5xIA
6.45306	3.39583	What are the odds 😄 bumped into @Lola_OJ yesterday and we were twinning on accident 🔥🚀 @ Lagos,… https://t.co/yRvjHdYGpl
6.46678646	3.49159241	FYI: Cows Killed After Running Out Of The Bush And Causing Serious Accident In Port-Harcourt (Photos): A ghastly mo… https://t.co/JLIytmnB1F
6.46678646	3.49159241	#ICYMI: NYSC Member Shares How He Escaped Being Electrocuted Few Days After Surviving Fatal Accident -Photos: A Nig… https://t.co/S1Rg49CIld
6.46678646	3.49159241	FYI: Nigerian Man Recounts How He Narrowly Escape Fatal Accident Involving 2 Buses (Photos): A Nigerian man simply… https://t.co/8s7oUm3JMN
6.46678646	3.49159241	BIZARRE! Driver And Conductor ‘Disappear’ After Fatal Truck Accident In Imo State (Photos): A fatal accident involv… https://t.co/eMwt7slIs1
6.46678646	3.49159241	#ICYMI: Cows Killed After Running Out Of The Bush And Causing Serious Accident In Port-Harcourt (Photos): A ghastly… https://t.co/D5eUfjn7bI
6.46678646	3.49159241	FYI: OMG! 18 Passengers Confirmed Dead In Lagos-Ibadan Expressway Auto Crash: A fatal accident this evening along t… https://t.co/CJH1p8iElb
6.46678646	3.49159241	FYI: Wedding Day Turn Sour! Newly Married Couple Involved In Ghastly Accident, Groomsman Dies (Photos): Groomsman k… https://t.co/T6x7hQB5bh
