75	5/26/18	Ojubode by Reel Buses	Ikorodu	Responded, no crash (false call)	5:48 PM	6:10 PM	22
77	5/23/18	Palmgrove Bus Stop inward Maryland	Shomolu	Responded, addressed crash	12:19 PM	12:30 PM	11
78	5/22/18	Anthony Pedestrian Bridge	Kosofe	Responded, addressed crash	11:51 AM	12:08 PM	17
79	5/22/18	Anthony Pedestrian Bridge	Kosofe	Responded, addressed crash	11:51 AM	12:08 PM	17
80	5/21/18	Anthony inward Maryland	Shomolu	Responded, addressed crash	8:50 PM	9:16 PM	26
81	5/21/18	2nd Rainbow inward 	Oshodi Isolo	Responded, crash was already addressed	6:57 PM	7:30 PM	33
82	5/21/18	Abagada Bus Stop Inward	Oshodi Isolo	Responded, no crash (false call)	2:10 PM	2:16 PM	6
83	5/21/18	Omole Bus Stop inward Ogba	Ikeja	Responded, crash was already addressed	4:22 PM	4:35 PM	13
84	5/27/18	Moshalashi by Sasha Road	Alimosho	Responded, no crash (false call)	11:48 AM	12:20 PM	32
85	5/27/18	Olosha Bus Stop	Mushin	Responded, no crash (false call)	3:20 PM	3:30 PM	10
86	5/27/18	Ihasa Road inward	Oshodi Isolo	Other	2:22 PM	2:27 PM	5
87	5/29/18	Iju Road by MEF Filling Station	Ifako Ijaiye	Other	9:47 PM	10:00 PM	13
89	5/6/18	Mile 12 Under Bridge	Kosofe	Other	2:56 AM	3:20 AM	24
90	5/19/18	Ita Oluwo close to Fire Service Infantry	Ikorodu	Responded, no crash (false call)	8:42 PM	9:28 PM	46
92	5/22/18	Ogolonto b/stop by BRT Lane	Ikorodu	Responded, no crash (false call)	8:51 PM	9:01 PM	10
93	5/3/18	Alakuko B/S Inward Iyana-Ipaja	Alimosho	Responded, no crash (false call)	3:47 PM	4:12 PM	25
94	5/3/18	Iju road after Mosque, Yaya Abatan	Ifako Ijaiye	Responded, crash was already addressed	9:37 AM	10:14 AM	37
95	5/4/18	Odo Iyalano Bridge	Shomolu	Other	8:24 PM	9:30 PM	66
96	5/5/18	Maruwa Gardens by Otedola near filling station	Ikeja	Responded, crash was already addressed	5:01 AM	5:15 AM	14
97	5/2/18	Maryland b/s inward Ojota	Kosofe	Responded, addressed crash	9:47 PM	10:08 PM	21
102	5/9/18	Ketu BRI Terminal by KT Petroleum	Ikorodu	Responded, no crash (false call)	9:04 AM	9:20 AM	16
103	5/9/18	Agric bus/stop inward 	Ikorodu	Other	12:16 PM	12:28 PM	12
105	5/7/18	T-junction, Ogoluto by BPT Corridor	Ikorodu	Responded, crash was already addressed	4:33 PM	4:47 PM	14
106	5/7/18	Ile-ile b/stop close to ketu mew ket	Kosofe	Responded, no crash (false call)	9:51 AM	10:06 AM	15
107	5/9/18	Btw Ladspo and Shogulle inward	Oshodi Isolo	Responded, no crash (false call)	10:43 PM	11:02 PM	19
108	5/9/18	Guinness B/S Inward Agege Mobil pls	Agege	Responded, no crash (false call)	4:35 AM	5:10 AM	35
110	5/23/18	Aleke inward imota by itoikin road	Ikorodu	Responded, crash was already addressed	8:20 AM	8:51 AM	31
111	5/21/18	Agric b/stop	Ikorodu	Responded, addressed crash	9:55 AM	10:02 AM	7
112	5/21/18	Ogolonto bus stop	Ikorodu	Responded, no crash (false call)	6:54 PM	7:08 PM	14
113	5/22/18	Awori b/stop inward Ikorodu close to SO filling station	Kosofe	Responded, addressed crash	8:35 AM	8:58 AM	23
114	5/2/18	Majidun inward Ogolonto	Ikorodu	Responded, addressed crash	12:08 AM	12:21 AM	13
115	5/2/18	Majidun inward 	Ikorodu	Responded, addressed crash	12:08 AM	12:21 AM	13
116	5/2/18	Majidun inward	Ikorodu	Responded, addressed crash	12:08 AM	12:21 AM	13
117	5/2/18	Ologede b/stop inward ogolonto by justribe	Ikorodu	Responded, no crash (false call)	12:30 PM	12:43 PM	13
118	5/2/18	Oriwu Club Laspotech inward Odogunyan	Ikorodu	Responded, crash was already addressed	10:47 AM	11:00 AM	13
119	5/2/18	Oriwu Club by Jubilee estate	Ikorodu	Responded, crash was already addressed	7:50 AM	8:00 AM	10
120	5/3/18	Iyana school b/stop by NNPC inward ketu	Ikorodu	Responded, no crash (false call)	8:44 AM	9:08 AM	24
121	5/9/18	Olounshogo B/Stop inward	Mushin	Responded, crash was already addressed	10:03 PM	10:20 PM	17
122	5/23/18	Anthony underbridge	Mushin	Responded, addressed crash	8:11 PM	8:40 PM	29
123	5/18/18	Oko-afo comforter b/stop inward badagry	Badagry	Responded, no crash (false call)	10:24 AM	11:05 AM	41
124	5/7/18	Ladip B/s inward Oshodi	Oshodi Isolo	Responded, crash was already addressed	7:45 PM	8:07 PM	22
126	5/7/18	International Airport stop ONBR	Ikeja	Responded, crash was already addressed	4:35 PM	5:00 PM	25
127	5/6/18	In front of LASTMA office	Oshodi Isolo	Other	10:35 PM	10:38 PM	3
