[6.439451999999999,2.9078579]	Aradagun b/stop,Badagry	5/7/18
[6.5138403,3.3311785]	Mepa b/s Oshodi Apapa Expressway inward Cele,Oshodi Isolo	5/28/18
[6.5099974,3.3650011]	Ojuelegba bridge inward Redeyi,Surulere	5/28/18
[6.579534199999999,3.3813509]	Anthony B/stop inward Ojota,Kosofe	5/28/18
[6.597909899999999,3.3653643]	Oremeta, EHiS Hotel ,Ikeja	5/3/18
[6.5926769,3.4005257]	Ketu link bridge by Demurin,Kosofe	5/18/18
[6.5337425,3.4010203]	3rd Mainland Bridge inward Adewale,Shomolu	5/9/18
[6.4329553,3.4821678]	Ikate R/about,Eti Osa	5/28/18
[6.451797399999999,3.3942926]	Eko Akete,Lagos Island	5/6/18
[6.588236299999999,3.3978098]	Alapere by The Apertabe Church,Kosofe	5/30/18
[6.588779199999999,3.3994129]	Alapere bustop inward Ketu,Kosofe	5/31/18
[6.6294287,3.3261754]	Pen Cinema b/stop Agege LG office,Agege	5/31/18
[6.6261427,3.3535281]	Agidingbi nad by Mega Chicken,Ikeja	5/27/18
[6.433476199999999,3.5136414]	Jakande by Ologolo B/Stop,Ibeju Lekki	5/26/18
[6.4729062,3.7223789]	Lakowe Bus-stop,Ibeju Lekki	5/25/18
[6.4732354,3.7296398]	Lakowe junction Epe expressway,Ibeju Lekki	5/20/18
[6.6478419,3.3147939]	Pen Cinema Abbatior before police station,Ifako Ijaiye	5/26/18
[6.638643999999999,3.312819]	Oko-Oba Rd by carwash inward Abaten ,Agege	5/26/18
[6.651132,3.3763369]	Olajide Street, Berger,Ikeja	5/24/18
[36.1620415,-86.77221019999999]	7up Pedestrian Bridge,Ikeja	3/1/18
[36.1620415,-86.77221019999999]	7up Pedestrian Bridge,Ikeja	4/1/18
[6.4868039,3.3624294]	Iponri Estate,Surulere	4/11/18
[6.482167,3.383145]	Otto Bustop inward Oyingbo,Lagos Mainland	4/13/18
[6.462900599999999,3.418825]	Osborne road, Dolphin Estate,Eti Osa	4/7/18
